state,sat19_participation,sat19_total,sat18_participation,sat18_total,sat17_participation,sat17_total,act19_participation,act19_composite,act18_participation,act18_composite,act17_participation,act17_composite
Alabama,7.0,1143,7.0,1143,7.0,1143,100,18.9,100,18.9,100,18.9
Alaska,41.0,1097,41.0,1097,41.0,1097,38,20.1,38,20.1,38,20.1
Arizona,31.0,1134,31.0,1134,31.0,1134,73,19.0,73,19.0,73,19.0
Arkansas,6.0,1141,6.0,1141,6.0,1141,100,19.3,100,19.3,100,19.3
California,63.0,1065,63.0,1065,63.0,1065,23,22.6,23,22.6,23,22.6
Colorado,100.0,1024,100.0,1024,100.0,1024,27,23.8,27,23.8,27,23.8
Connecticut,100.0,1046,100.0,1046,100.0,1046,22,25.5,22,25.5,22,25.5
Delaware,100.0,985,100.0,985,100.0,985,13,24.1,13,24.1,13,24.1
District of Columbia,94.0,975,94.0,975,94.0,975,32,23.5,32,23.5,32,23.5
Florida,100.0,999,100.0,999,100.0,999,54,20.1,54,20.1,54,20.1
Georgia,71.0,1058,71.0,1058,71.0,1058,49,21.4,49,21.4,49,21.4
Hawaii,54.0,1100,54.0,1100,54.0,1100,80,19.0,80,19.0,80,19.0
Idaho,100.0,993,100.0,993,100.0,993,31,22.5,31,22.5,31,22.5
Illinois,100.0,1013,100.0,1013,100.0,1013,35,24.3,35,24.3,35,24.3
Indiana,66.0,1080,66.0,1080,66.0,1080,29,22.5,29,22.5,29,22.5
Iowa,3.0,1244,3.0,1244,3.0,1244,66,21.6,66,21.6,66,21.6
Kansas,4.0,1241,4.0,1241,4.0,1241,72,21.2,72,21.2,72,21.2
Kentucky,4.0,1232,4.0,1232,4.0,1232,100,19.8,100,19.8,100,19.8
Louisiana,5.0,1200,5.0,1200,5.0,1200,100,18.8,100,18.8,100,18.8
Maine,99.0,1013,99.0,1013,99.0,1013,6,24.3,6,24.3,6,24.3
Maryland,82.0,1058,82.0,1058,82.0,1058,28,22.3,28,22.3,28,22.3
Massachusetts,81.0,1120,81.0,1120,81.0,1120,21,25.5,21,25.5,21,25.5
Michigan,100.0,1003,100.0,1003,100.0,1003,19,24.4,19,24.4,19,24.4
Minnesota,4.0,1284,4.0,1284,4.0,1284,95,21.4,95,21.4,95,21.4
Mississippi,3.0,1237,3.0,1237,3.0,1237,100,18.4,100,18.4,100,18.4
Missouri,4.0,1236,4.0,1236,4.0,1236,82,20.8,82,20.8,82,20.8
Montana,9.0,1199,9.0,1199,9.0,1199,100,19.8,100,19.8,100,19.8
Nebraska,3.0,1260,3.0,1260,3.0,1260,100,20.0,100,20.0,100,20.0
Nevada,20.0,1156,20.0,1156,20.0,1156,100,17.9,100,17.9,100,17.9
New Hampshire,95.0,1059,95.0,1059,95.0,1059,14,25.0,14,25.0,14,25.0
New Jersey,82.0,1090,82.0,1090,82.0,1090,25,24.2,25,24.2,25,24.2
New Mexico,18.0,1073,18.0,1073,18.0,1073,63,19.3,63,19.3,63,19.3
New York,79.0,1064,79.0,1064,79.0,1064,22,24.5,22,24.5,22,24.5
North Carolina,51.0,1100,51.0,1100,51.0,1100,100,19.0,100,19.0,100,19.0
North Dakota,2.0,1263,2.0,1263,2.0,1263,96,19.9,96,19.9,96,19.9
Ohio,19.0,1097,19.0,1097,19.0,1097,100,20.0,100,20.0,100,20.0
Oklahoma,22.0,963,22.0,963,22.0,963,100,18.9,100,18.9,100,18.9
Oregon,51.0,1112,51.0,1112,51.0,1112,42,21.1,42,21.1,42,21.1
Pennsylvania,70.0,1082,70.0,1082,70.0,1082,17,23.6,17,23.6,17,23.6
Rhode Island,100.0,995,100.0,995,100.0,995,12,24.7,12,24.7,12,24.7
South Carolina,68.0,1030,68.0,1030,68.0,1030,78,18.8,78,18.8,78,18.8
South Dakota,3.0,1268,3.0,1268,3.0,1268,75,21.6,75,21.6,75,21.6
Tennessee,7.0,1220,7.0,1220,7.0,1220,100,19.4,100,19.4,100,19.4
Texas,68.0,1022,68.0,1022,68.0,1022,39,20.5,39,20.5,39,20.5
Utah,4.0,1230,4.0,1230,4.0,1230,100,20.3,100,20.3,100,20.3
Vermont,66.0,1106,66.0,1106,66.0,1106,20,24.1,20,24.1,20,24.1
Virginia,68.0,1119,68.0,1119,68.0,1119,21,24.0,21,24.0,21,24.0
Washington,70.0,1074,70.0,1074,70.0,1074,24,22.1,24,22.1,24,22.1
West Virginia,99.0,943,99.0,943,99.0,943,49,20.8,49,20.8,49,20.8
Wisconsin,3.0,1283,3.0,1283,3.0,1283,100,20.3,100,20.3,100,20.3
Wyoming,3.0,1238,3.0,1238,3.0,1238,100,19.8,100,19.8,100,19.8
